198;25;-56;-89;-2;6;0;19;-5;-24;-19;-21;-8;-13;-8;27;-8;-2;-10;26;0;17;-8;-3;-10;-5;-18;-4;1
-27;7;77;-3;-5;23;0;19;-13;-26;-16;-20;-3;-8;51;13;-46;-26;-16;35;0;16;-2;-2;-16;-20;-14;-5;1
28;-47;64;-19;-22;13;0;50;-2;-4;-10;-24;-1;-22;32;27;-44;-29;-9;20;0;18;-9;-5;-14;-5;-4;-10;1
194;-7;-53;-18;0;-9;0;27;-13;-29;-28;-15;-9;-30;-8;33;-9;-3;-6;49;0;23;-15;-8;-15;-11;-17;-12;1
-138;134;100;-27;-10;-11;0;38;-10;-17;-8;-18;-18;-4;93;-21;-52;-3;-16;49;0;22;-11;-18;-14;-14;-9;-15;1
70;64;-33;-58;-10;24;0;40;-8;-26;-25;-11;-19;-4;20;-3;-18;-7;-7;25;0;20;-19;-3;-7;-15;-6;-10;1
105;82;-11;-61;-23;22;0;3;-19;-4;-21;-29;-12;-24;20;11;-18;-15;-18;36;0;20;-8;-1;-11;-18;-5;-10;1
-213;121;141;-2;-16;16;0;35;-22;-1;-17;-15;-8;-3;118;-20;-63;-9;-6;30;0;15;-6;-8;-14;-19;-8;-6;1
98;-57;138;-96;-29;45;0;19;-24;-21;-14;-5;-22;-21;19;50;-52;-12;-18;17;0;21;-5;-1;-9;-9;-3;-11;1
-38;65;87;-27;-2;0;0;17;-22;-3;-25;-13;-7;-26;56;-3;-50;-3;-18;32;0;16;-1;-10;-11;-9;-18;-5;1
-98;123;76;-11;-26;2;0;45;-8;-29;-6;-28;-26;-5;81;-10;-42;-29;-15;46;0;25;-12;-15;-13;-12;-2;-16;1
78;64;53;-71;-24;8;0;17;-5;-25;-21;-22;-19;-24;25;8;-38;-3;-7;46;0;19;-4;-6;-13;-18;-12;-10;1
68;46;11;-70;-6;7;0;42;-8;-1;-4;-29;-26;-24;25;9;-28;-18;-11;52;0;21;-3;-14;-12;-10;-18;-17;1
89;105;-1;-100;-4;16;0;13;-29;-28;0;-30;-2;-20;24;4;-20;-2;-14;38;0;27;-13;-13;-16;-11;-4;-12;1
-106;81;117;-34;-10;37;0;18;-23;0;-17;-17;-19;-17;79;-6;-54;-19;-6;30;0;19;-1;-14;-11;-20;0;-14;1
-39;113;90;-63;-10;1;0;2;-23;-10;-1;-11;-27;-14;60;-8;-45;-11;-8;41;0;23;-19;-12;-2;-15;-18;-4;1
139;-34;59;-15;-25;-14;0;11;-4;-26;-13;-16;-30;-23;11;44;-38;-12;-17;47;0;23;-10;-9;-17;-9;-3;-17;1
-20;80;78;-91;-24;3;0;43;-1;-5;-4;-17;-21;-14;54;2;-42;-18;-17;37;0;24;-10;-18;-5;-4;-10;-17;1
-203;144;169;-45;-25;16;0;41;-4;-2;-11;-21;-14;-25;120;-15;-62;-3;-17;34;0;20;-7;-12;-9;-1;-16;-15;1
